Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Entertainment and media events,Food Stalls|Influencer|Merchandise|Influencer|Food Stalls,13100.42|86810.76|33861.21|13813.67|11176.01,12767,109630.35,153917.55,40.4
Sports events,Food Stalls|Food Stalls|Media Sponsorship|Influencer|Food Stalls,32512.55|32004.11|61473.67|63597.62|2937.8,76428,149109.94,202582.34,35.86
Virtual event,In Kind,26811.82,3119,21048.65,36072.67,71.38
Sports events,Philanthropy|Food Stalls|Financial|Financial,78413.9|30497.54|74410.4|15885.75,38269,125356.63,142259.52,13.48
Sports events,Influencer|Financial|Merchandise,51919.71|144688.67|29195.04,85056,145406.36,219316.36,50.83
Virtual event,Merchandise,2322.71,9346,1891.34,3669.16,94.0
Community and Charity events,Media Sponsorship|Merchandise|Philanthropy,79839.34|25565.63|90454.24,2171,169978.12,284858.57,67.59
Community and Charity events,Media Sponsorship,91410.7,4280,54987.59,74207.18,34.95
Festivals and fairs,Philanthropy,59404.1,23538,51433.16,63025.5,22.54
Sports events,Merchandise|Media Sponsorship|Influencer|Media Sponsorship|Financial,33517.97|38287.43|82742.87|62920.86|102684.39,42634,193958.66,380069.8,95.95
Community and Charity events,Financial|Merchandise|In Kind|Media Sponsorship|In Kind,121936.71|4249.37|81981.2|58791.96|34497.76,3733,230147.04,414146.33,79.95
Virtual event,Media Sponsorship|Influencer|Philanthropy,23936.5|83080.92|23112.86,3821,104163.53,188932.7,81.38
Community and Charity events,Food Stalls,10909.13,4405,8852.62,12690.82,43.36
Sports events,Merchandise|Philanthropy|Philanthropy,24227.73|6592.09|42187.98,50785,48908.48,86893.93,77.67
Conferences and seminars,Influencer|Philanthropy|Philanthropy,34172.19|34727.45|83108.44,177,133786.13,156622.34,17.07
Entertainment and media events,Financial|Food Stalls|Philanthropy,100236.84|1405.74|36628.31,1681,109481.09,189030.82,72.66
Entertainment and media events,Merchandise|Merchandise|Media Sponsorship,21486.92|34651.01|27681.51,14214,73226.08,87193.27,19.07
Festivals and fairs,Food Stalls,49824.86,57495,39987.54,64458.25,61.2
Festivals and fairs,In Kind|Financial,29142.25|197142.05,25146,144880.32,218556.41,50.85
Sports events,Food Stalls|Merchandise|Philanthropy,41681.2|30214.51|65719.74,93392,96361.3,142505.15,47.89
Conferences and seminars,In Kind|In Kind|Food Stalls|Influencer,76907.01|40730.5|22824.92|77297.87,3012,175740.9,280889.85,59.83
Community and Charity events,Financial|Financial|Media Sponsorship|Philanthropy,199905.16|9794.88|58558.46|53607.51,4320,216072.87,418719.46,93.79
Entertainment and media events,Philanthropy,31081.59,41339,23383.33,41717.45,78.41
Conferences and seminars,Philanthropy|In Kind,2630.18|21568.72,3830,19730.54,32174.46,63.07
Festivals and fairs,Merchandise|Philanthropy|In Kind,34257.1|60754.74|1776.06,92858,67861.36,129182.88,90.36
Virtual event,Merchandise|Financial|Merchandise|Philanthropy,49147.02|56258.95|26783.09|73475.47,7921,131785.87,170280.58,29.21
Sports events,In Kind|Media Sponsorship|Food Stalls,10552.51|83909.68|34486.29,71028,77726.84,106910.54,37.55
Conferences and seminars,Financial,148472.44,1921,117046.33,155820.12,33.13
Community and Charity events,Influencer|Financial|Philanthropy|In Kind|Merchandise,90772.25|21298.27|24325.36|24446.31|33206.75,2013,131002.94,247997.56,89.31
Community and Charity events,Food Stalls|Influencer,10759.92|1313.29,4559,10759.57,17462.1,62.29
Conferences and seminars,Influencer|In Kind|Financial|In Kind|Food Stalls,42043.76|31588.44|41970.12|97374.94|9974.87,2851,191517.3,247255.72,29.1
Conferences and seminars,Merchandise|Food Stalls|Financial|Influencer,25557.99|31398.52|16622.38|41044.57,4119,97510.2,154393.22,58.34
Sports events,Influencer|Media Sponsorship|In Kind,80787.51|59106.2|21642.17,72769,143188.5,175062.1,22.26
Festivals and fairs,Media Sponsorship|Financial|Food Stalls,52422.17|53554.13|49355.91,5364,99761.89,123860.53,24.16
Conferences and seminars,Merchandise|Food Stalls|Media Sponsorship,8235.07|40888.82|97552.47,3386,121228.56,209377.04,72.71
Virtual event,Philanthropy|Philanthropy|In Kind,8168.95|48522.75|32843.59,3228,74399.39,101818.44,36.85
Festivals and fairs,Financial|Media Sponsorship|In Kind,83616.81|92669.29|67704.39,30698,186034.93,287728.43,54.66
Festivals and fairs,Financial|Media Sponsorship|Influencer|In Kind,15827.94|64897.79|40794.86|44893.96,1453,143611.05,172568.15,20.16
Virtual event,Philanthropy,22723.07,8314,16498.98,28347.86,71.82
Community and Charity events,Influencer|Financial|Philanthropy|Food Stalls|Influencer,69787.59|50309.24|88386.32|22842.54|19837.69,1884,225998.12,381299.01,68.72
Festivals and fairs,Media Sponsorship|Philanthropy|Food Stalls|Media Sponsorship|In Kind,12274.57|74627.5|42073.24|72205.52|85105.15,76343,249668.91,380845.61,52.54
Festivals and fairs,In Kind|Philanthropy,36829.04|70694.12,57666,69292.12,115132.8,66.16
Virtual event,Merchandise|In Kind|Media Sponsorship|Philanthropy|Influencer,5520.63|55386.02|60116.7|64366.31|1988.25,5351,129092.21,154517.67,19.7
Virtual event,Philanthropy,18943.51,4382,13335.34,19622.36,47.15
Entertainment and media events,Influencer|Food Stalls|Food Stalls|Merchandise|Influencer,44608.33|45921.54|34879.65|21018.67|26853.36,46473,125808.13,227341.77,80.71
Festivals and fairs,Merchandise,23651.51,54295,16884.16,31963.32,89.31
Community and Charity events,Merchandise|Philanthropy|Philanthropy,48965.39|1383.44|12553.16,1318,53475.4,66673.06,24.68
Sports events,Philanthropy|Food Stalls|In Kind,96801.59|29735.35|72372.57,63008,139524.77,216560.45,55.21
Virtual event,Media Sponsorship,25589.43,2114,21027.47,25153.75,19.62
Sports events,Philanthropy,42271.9,93237,25897.19,37586.31,45.14
Festivals and fairs,Influencer|Food Stalls|In Kind|Media Sponsorship,44130.79|38665.38|51897.65|83296.67,37867,155128.8,299601.28,93.13
Entertainment and media events,Influencer|Food Stalls|Influencer,72144.34|1020.0|86014.7,44293,111994.35,129423.06,15.56
Festivals and fairs,In Kind,22617.1,17572,16750.96,24319.54,45.18
Sports events,Merchandise|Merchandise,38199.53|12607.75,20118,42715.66,70004.79,63.89
Conferences and seminars,Philanthropy|Influencer|Media Sponsorship,55585.25|5079.27|70801.46,4377,95946.3,136432.7,42.2
Conferences and seminars,Philanthropy|Financial|Philanthropy,7736.41|7802.93|91201.99,646,82201.61,106262.53,29.27
Virtual event,Financial|Merchandise|Financial,181726.73|33875.67|154257.31,2266,230108.28,401472.71,74.47
Conferences and seminars,Merchandise,8249.84,2144,7151.28,13123.81,83.52
Community and Charity events,Food Stalls|Food Stalls|Financial|Merchandise|Philanthropy,10289.54|22778.72|196895.11|41856.25|90639.81,675,324463.86,489178.21,50.77
Virtual event,Media Sponsorship,44938.47,5955,29820.01,47131.15,58.05
Entertainment and media events,Philanthropy|Financial|Philanthropy,33215.47|159712.42|16224.72,2201,183592.3,355413.94,93.59
Festivals and fairs,Philanthropy|Food Stalls|Merchandise|Financial|Financial,18202.66|16883.91|9279.2|169686.62|167720.64,45143,306241.14,528430.55,72.55
Festivals and fairs,In Kind|In Kind|Food Stalls,90137.76|12657.88|7575.9,84402,97509.46,175362.59,79.84
Community and Charity events,Philanthropy|In Kind|Media Sponsorship,12202.88|85401.86|72346.7,3785,146141.49,178723.89,22.3
Festivals and fairs,Financial,150559.24,64850,130709.3,260606.76,99.38
Festivals and fairs,Media Sponsorship|Media Sponsorship|Influencer|Influencer,4400.54|50705.61|48171.17|62231.7,66831,125106.12,219653.1,75.57
Conferences and seminars,Food Stalls|Influencer|Merchandise|Influencer,3271.74|33923.78|45513.78|21736.02,2259,79820.81,93391.06,17.0
Virtual event,In Kind|Philanthropy|Merchandise|In Kind,31322.12|74427.8|2645.05|67890.61,7087,133036.37,162275.5,21.98
Conferences and seminars,In Kind,49643.07,2078,31947.86,53957.11,68.89
Sports events,Merchandise|Financial|Influencer|Merchandise|Media Sponsorship,24971.43|199386.9|73016.19|26219.77|32713.56,27884,253431.21,388055.15,53.12
Virtual event,Financial|Merchandise|Media Sponsorship|Philanthropy,21269.04|11999.9|31675.69|8855.57,1285,56749.84,66033.46,16.36
Festivals and fairs,Media Sponsorship|Influencer|Merchandise|Food Stalls|Food Stalls,7351.31|11493.15|5909.03|2028.36|44980.2,69948,51846.79,70016.85,35.05
Entertainment and media events,Financial,86603.1,22796,69587.01,93700.39,34.65
Virtual event,Philanthropy|Media Sponsorship|Media Sponsorship|Media Sponsorship|Financial,29769.67|9885.17|50038.17|24614.74|8650.7,4471,74510.92,141001.75,89.24
Sports events,Financial|Media Sponsorship,88400.33|69525.28,41160,129777.3,166034.9,27.94
Sports events,In Kind,34714.45,28874,22229.09,36588.26,64.6
Entertainment and media events,In Kind|Food Stalls,23729.92|49594.94,22774,49573.99,79309.08,59.98
Community and Charity events,Media Sponsorship|Financial|Merchandise|Merchandise,14892.78|160473.57|42581.64|49981.02,1756,169731.62,323692.82,90.71
Virtual event,Media Sponsorship,5894.12,2034,4857.38,6675.31,37.43
Sports events,Food Stalls|Influencer|Merchandise|Media Sponsorship,2855.57|38177.58|32301.84|91604.68,40667,138083.0,197147.62,42.77
Sports events,Merchandise,38741.44,87329,34470.43,55876.81,62.1
Sports events,Influencer|Merchandise|Media Sponsorship|Food Stalls,71988.86|15195.4|7980.15|46209.38,62927,100724.07,174336.25,73.08
Sports events,Financial,125104.98,63246,87297.22,106939.92,22.5
Virtual event,In Kind,83407.43,9352,55206.58,90345.55,63.65
Virtual event,Media Sponsorship|In Kind|Media Sponsorship|Influencer|Media Sponsorship,50766.03|59094.31|19850.84|70936.77|89384.61,3472,181105.34,256939.54,41.87
Entertainment and media events,Media Sponsorship|Influencer,8028.55|96951.45,16211,86555.79,163197.97,88.55
Sports events,Philanthropy|Financial|Financial|Merchandise|Food Stalls,59113.9|117521.22|124110.64|37422.71|38353.16,99665,296571.79,484073.16,63.22
Sports events,In Kind|In Kind,18298.53|48418.51,61556,52431.51,63936.45,21.94
Festivals and fairs,Media Sponsorship|Media Sponsorship|Merchandise|In Kind|Philanthropy,29657.37|26716.05|43286.83|30188.74|36317.34,97591,136514.55,239015.0,75.08
Community and Charity events,In Kind|Financial|Merchandise,61048.85|136622.05|990.88,487,164811.26,239200.33,45.14
Festivals and fairs,Media Sponsorship|Influencer,24872.73|61090.32,58676,60862.9,89765.35,47.49
Sports events,Media Sponsorship|Philanthropy,3443.83|20612.23,64105,19610.48,30673.76,56.42
Conferences and seminars,Food Stalls|Merchandise|Media Sponsorship|In Kind,43643.6|32579.36|71330.58|39122.93,1781,112254.14,176260.32,57.02
Entertainment and media events,Influencer,47285.58,34601,30009.29,50433.08,68.06
Conferences and seminars,Philanthropy|In Kind|Philanthropy|Food Stalls|Influencer,3446.59|39236.75|37306.09|851.96|11188.57,1881,64183.34,75570.79,17.74
Virtual event,Philanthropy|Financial|In Kind|Merchandise,87738.09|91363.08|30839.65|20185.05,1715,153998.53,182950.01,18.8
Community and Charity events,Financial,196117.96,2083,170179.77,242762.75,42.65
Sports events,In Kind|Media Sponsorship|Influencer,37389.66|69288.77|17877.87,42537,83646.14,156050.33,86.56
Entertainment and media events,Food Stalls|Merchandise,19145.45|46148.17,38267,53005.95,61474.04,15.98
Entertainment and media events,Influencer|Influencer|Food Stalls,25315.42|16508.15|43786.38,37058,55457.56,93822.87,69.18
Entertainment and media events,Merchandise|Food Stalls|Food Stalls|Food Stalls,42075.38|49461.06|9153.15|43015.35,23146,102938.24,178839.55,73.73
Sports events,Media Sponsorship|In Kind|Media Sponsorship,90415.28|17724.98|86465.14,70785,142212.19,255390.57,79.58
Virtual event,In Kind|Media Sponsorship|Financial|Influencer,98810.01|63055.42|141847.82|90356.56,6567,282224.69,454604.45,61.08
Conferences and seminars,Merchandise|Media Sponsorship|Merchandise|Media Sponsorship|In Kind,19467.57|43063.95|34135.91|36234.35|11804.36,837,125923.36,156281.14,24.11
Conferences and seminars,In Kind|In Kind|Merchandise|Influencer,20784.14|1009.9|44763.92|91258.74,4727,140750.34,253607.82,80.18
Virtual event,Philanthropy|Financial|Influencer|Influencer,78921.6|3563.21|24666.62|46509.07,3013,114005.12,224674.29,97.07
Sports events,Food Stalls|Influencer,38580.26|33651.61,94929,61365.84,78077.08,27.23
Community and Charity events,In Kind|Influencer|Media Sponsorship,39347.54|15331.23|28582.51,1946,57551.53,95274.89,65.55
Entertainment and media events,Merchandise|Media Sponsorship|Financial,19188.65|38269.53|26925.19,13960,74581.59,146670.8,96.66
Virtual event,Influencer,85067.13,2608,69467.8,92261.03,32.81
Entertainment and media events,Financial|Influencer|Media Sponsorship|Influencer,199577.98|41026.93|25619.33|89002.69,34995,291376.87,435311.32,49.4
Entertainment and media events,Philanthropy|In Kind|Influencer,92938.85|74768.55|71806.69,12051,185185.1,246135.64,32.91
Entertainment and media events,Philanthropy,99340.71,26551,60582.34,98959.6,63.35
Entertainment and media events,In Kind|Food Stalls|Media Sponsorship|Media Sponsorship|Merchandise,93793.44|48107.07|14685.93|87419.81|31464.23,40677,177926.22,221020.63,24.22
Entertainment and media events,Financial|Media Sponsorship|Merchandise,35510.94|42057.62|40793.94,2057,73468.16,135525.75,84.47
Entertainment and media events,Food Stalls|Financial,45523.81|190110.37,31577,208453.03,386503.28,85.42
Entertainment and media events,Merchandise|Media Sponsorship|Food Stalls,18386.95|53149.37|12732.82,45268,52275.87,67493.96,29.11
Community and Charity events,Influencer,74093.6,3729,49413.36,92713.05,87.63
Virtual event,Media Sponsorship|Media Sponsorship|Merchandise|Philanthropy,79430.78|9228.49|18512.73|80009.74,3335,139311.35,277265.19,99.03
Conferences and seminars,In Kind|Financial|In Kind,35343.52|101605.23|18975.49,2115,120164.61,205964.7,71.4
Virtual event,Influencer|Media Sponsorship|In Kind|Influencer,41693.13|33566.14|43849.31|41051.75,3036,118616.78,183872.51,55.01
Festivals and fairs,In Kind|Influencer|In Kind|Philanthropy|Media Sponsorship,62702.88|5340.24|42127.54|16300.91|18952.16,23821,100671.31,132188.66,31.31
Community and Charity events,In Kind|Food Stalls|Philanthropy,7239.98|44569.4|82743.63,1002,97632.99,119939.32,22.85
Festivals and fairs,Philanthropy|Influencer,24034.09|42555.3,56532,50942.67,68488.22,34.44
Community and Charity events,Influencer|Food Stalls,57448.05|28772.77,653,57180.89,108424.33,89.62
Community and Charity events,Merchandise|In Kind|Media Sponsorship,26762.59|18833.84|52128.26,1218,74680.25,128621.1,72.23
Community and Charity events,Philanthropy,51146.8,453,42108.23,65520.03,55.6
Virtual event,Merchandise|Financial,17925.74|19381.58,7777,27206.12,52813.66,94.12
Sports events,Food Stalls|Merchandise|Philanthropy,43624.15|26107.93|56081.92,98279,98985.74,122226.94,23.48
Entertainment and media events,Financial|Financial|Influencer|Philanthropy,24261.82|15726.29|6681.82|45115.46,44223,81673.53,162483.72,98.94
Virtual event,Merchandise|Influencer|Media Sponsorship|Merchandise,10036.17|56197.57|98510.04|7221.02,9044,146184.59,199207.27,36.27
Sports events,Food Stalls|Philanthropy,27616.11|83660.6,72010,91562.91,116586.12,27.33
Festivals and fairs,Philanthropy|Media Sponsorship|Philanthropy|In Kind|In Kind,54607.67|37260.3|6286.44|21552.3|81870.35,30911,151374.23,193050.84,27.53
Community and Charity events,Financial|In Kind|Influencer|Philanthropy|Merchandise,10671.5|83122.97|98030.61|12836.61|14080.19,1493,186036.4,239218.53,28.59
Conferences and seminars,Financial|Food Stalls|In Kind|Influencer|Philanthropy,73255.78|49242.38|86217.31|92867.55|50323.65,3270,295309.47,484762.89,64.15
Entertainment and media events,Philanthropy,88316.33,43711,66271.35,103544.19,56.24
Conferences and seminars,Influencer|Merchandise,63643.07|30598.46,4666,71795.4,79801.36,11.15
Virtual event,In Kind|Financial|Media Sponsorship|Influencer,85435.17|70803.71|82370.04|47719.74,3898,203657.72,311374.83,52.89
Sports events,In Kind|Influencer,9409.35|77052.06,55067,74058.93,82073.19,10.82
Entertainment and media events,Financial|In Kind|In Kind,25074.61|84848.07|41178.16,22973,97671.75,152413.61,56.05
Community and Charity events,Media Sponsorship|Merchandise|Food Stalls|Financial,8312.58|26133.08|48790.28|89653.72,1747,121921.67,182472.36,49.66
Entertainment and media events,Influencer|In Kind|Influencer,41092.76|48993.57|23916.64,38768,86237.12,156380.88,81.34
Sports events,Food Stalls|Merchandise|Philanthropy|Merchandise,43067.36|22770.75|56582.72|4320.37,23422,107385.33,123142.69,14.67
Conferences and seminars,Food Stalls,28614.2,158,18878.17,34621.74,83.4
Virtual event,Financial|Media Sponsorship|In Kind|Influencer|Influencer,10098.31|67882.06|89907.78|31684.72|18155.43,2931,157013.44,187804.92,19.61
Conferences and seminars,Financial|Food Stalls,87102.2|6213.54,4818,57321.31,114423.68,99.62
Community and Charity events,Merchandise|Financial,28915.79|153610.4,2832,120756.37,181725.96,50.49
Sports events,In Kind|Merchandise|Food Stalls|Food Stalls,94184.49|9755.24|31872.21|35700.91,10512,106771.33,204320.7,91.36
Conferences and seminars,Merchandise|Philanthropy,27640.39|21554.51,1179,42615.5,71212.72,67.11
Virtual event,In Kind|Media Sponsorship,53163.95|82728.24,8864,95140.76,182906.58,92.25
Entertainment and media events,Media Sponsorship|Media Sponsorship,81980.38|94778.5,16572,158158.71,254401.71,60.85
Festivals and fairs,Merchandise|Influencer,28853.79|10772.02,93786,27231.94,40983.67,50.5
Festivals and fairs,Financial|Influencer|Food Stalls|Food Stalls,12235.93|90282.31|10852.9|37236.2,93309,130700.14,229544.96,75.63
Virtual event,Influencer,89611.48,3880,66541.32,117852.53,77.11
Entertainment and media events,Philanthropy|Media Sponsorship|Food Stalls|Financial|Media Sponsorship,83230.06|96705.39|46165.0|13697.48|73681.53,17574,250216.4,477025.39,90.65
Festivals and fairs,Merchandise|Merchandise|Food Stalls|Philanthropy,24842.24|8428.91|20897.79|43746.7,1822,79813.34,155334.66,94.62
Sports events,Financial|In Kind|Merchandise|Media Sponsorship|Philanthropy,20439.46|46807.89|17261.12|4512.85|80830.73,17219,122178.77,204429.28,67.32
Festivals and fairs,Media Sponsorship|Media Sponsorship|Merchandise|Influencer,50920.04|24745.76|828.73|80501.22,31884,111567.68,133227.3,19.41
Community and Charity events,Merchandise|Financial,44911.57|110178.9,2602,102959.37,145059.85,40.89
Sports events,Media Sponsorship|Philanthropy|In Kind|Merchandise|Financial,84443.15|1275.07|94081.66|26604.64|133228.74,40176,225592.13,271585.64,20.39
Entertainment and media events,Food Stalls|Influencer,7049.02|24714.75,29503,20811.53,27797.5,33.57
Festivals and fairs,In Kind|Food Stalls|Food Stalls|Food Stalls,47929.14|12455.26|25447.36|32798.62,31368,74605.84,125574.85,68.32
Sports events,In Kind,55041.53,85379,41623.51,70206.63,68.67
Festivals and fairs,Philanthropy|Financial|Media Sponsorship,42119.29|147358.25|58516.8,19708,217631.75,268744.6,23.49
Conferences and seminars,Philanthropy,30953.98,2619,21823.45,41237.25,88.96
Community and Charity events,Influencer,42416.68,4851,36544.79,48685.02,33.22
Festivals and fairs,Food Stalls,15363.24,4995,13295.83,26285.85,97.7
Sports events,Financial|Financial|Influencer|Financial,90487.62|41940.03|36512.41|137547.97,42093,252950.13,310887.4,22.9
Virtual event,Merchandise|In Kind|Philanthropy|Financial,1290.32|60663.48|41991.12|75390.04,7873,127774.08,209941.38,64.31
Festivals and fairs,In Kind,12039.41,11996,9732.73,15900.55,63.37
Entertainment and media events,Philanthropy|Influencer|Food Stalls|In Kind,57215.83|65417.33|28600.81|46967.31,776,157026.12,308387.29,96.39
Sports events,Merchandise|Merchandise|Financial|Media Sponsorship|Food Stalls,26533.86|23120.53|180673.2|96671.99|27059.7,35322,215374.05,252478.48,17.23
Conferences and seminars,Philanthropy|Financial,30768.53|68576.51,3984,62690.37,88101.77,40.53
Conferences and seminars,Food Stalls|Influencer|Food Stalls,10574.52|41100.89|35133.87,1591,70539.83,119734.58,69.74
Community and Charity events,Financial|Merchandise|Food Stalls|Influencer,82954.81|41044.42|2321.37|54877.62,497,162622.67,249347.33,53.33
Entertainment and media events,In Kind,29664.08,14298,18829.52,32676.43,73.54
Virtual event,Influencer|Media Sponsorship|Influencer,43587.74|91029.6|19603.1,768,114344.53,176391.67,54.26
Sports events,Financial|Media Sponsorship,185771.03|1114.34,56642,130332.83,199890.94,53.37
Sports events,Merchandise|Food Stalls|Philanthropy|Merchandise,17459.99|8150.23|58668.62|35565.7,44995,80592.36,119430.66,48.19
Festivals and fairs,Influencer|Influencer|Media Sponsorship,42841.39|48375.62|59790.36,10077,125840.57,194312.74,54.41
Virtual event,Influencer,65297.78,5405,52679.09,103183.39,95.87
Festivals and fairs,Financial|Influencer|Influencer|Merchandise|Merchandise,86039.91|14467.86|92977.64|34840.04|3576.06,18672,204284.15,244794.54,19.83
Conferences and seminars,In Kind|Food Stalls,17848.31|18092.86,2898,23007.75,29973.55,30.28
Entertainment and media events,Media Sponsorship|Philanthropy,55847.88|14652.84,6945,57123.97,110482.84,93.41
Festivals and fairs,Financial|Philanthropy|Media Sponsorship|Influencer|Influencer,90292.19|30656.93|17018.72|67386.2|46997.43,38061,180845.82,357171.12,97.5
Sports events,Philanthropy|Financial|Food Stalls|Influencer,3142.14|90255.16|7292.17|13021.28,60794,93783.68,143035.39,52.52
Conferences and seminars,Financial|Merchandise|In Kind,168652.14|37231.0|91505.91,1842,203252.06,275318.7,35.46
Festivals and fairs,Media Sponsorship|In Kind,41052.78|67855.49,81115,94972.9,113536.65,19.55
Community and Charity events,Merchandise,34154.7,1851,29324.04,50964.02,73.8
Virtual event,Merchandise|Financial|Influencer|Philanthropy|Merchandise,8699.22|64344.59|65899.88|14014.51|25381.72,6506,124168.91,164814.65,32.73
Entertainment and media events,Financial|Food Stalls|Philanthropy|Food Stalls,76529.88|25128.98|5997.18|15099.35,37539,98417.6,110609.78,12.39
Conferences and seminars,Food Stalls,20510.7,2880,13999.03,22343.0,59.6
Conferences and seminars,Philanthropy|Influencer,55291.99|5355.64,1876,50882.43,85006.61,67.06
Virtual event,Influencer|In Kind|In Kind,34514.37|20689.11|39918.09,6918,68917.86,128707.12,86.75
Community and Charity events,In Kind,81055.48,2843,51107.75,96930.2,89.66
Virtual event,In Kind|Influencer|Merchandise|Influencer|Merchandise,49277.51|50061.24|41395.61|1833.92|46350.06,2115,155153.86,197827.81,27.5
Virtual event,Financial|Financial|Merchandise,115356.98|162116.6|28028.86,6548,274466.01,518334.78,88.85
Community and Charity events,Financial|Philanthropy|Philanthropy|Financial,137675.58|58882.38|94480.2|94410.21,159,334365.1,419354.37,25.42
Entertainment and media events,Financial|In Kind|Financial|Influencer|Merchandise,108246.96|12406.17|127638.93|54019.54|15149.29,20617,253494.22,447324.75,76.46
Entertainment and media events,Influencer|Media Sponsorship|Food Stalls|Influencer,7880.17|10886.73|16519.65|86215.99,23258,100065.25,125782.52,25.7
Virtual event,Financial,184499.73,2673,156670.7,260709.19,66.41
Virtual event,In Kind|Merchandise,70146.78|29761.96,5720,76398.01,121957.74,59.63
Community and Charity events,Merchandise|Media Sponsorship,6041.85|40938.48,1413,41964.35,66527.81,58.53
Festivals and fairs,Philanthropy,3890.15,71984,3045.63,3709.5,21.8
Sports events,Influencer|In Kind|Philanthropy|Influencer|Financial,10383.15|75572.48|28390.9|27806.57|76096.17,17415,195898.76,246412.68,25.79
Sports events,Media Sponsorship,76776.17,96185,50372.19,83270.51,65.31
Entertainment and media events,Influencer|Media Sponsorship|Philanthropy|Philanthropy,26118.18|10406.19|57706.93|18247.35,48575,79240.11,119293.39,50.55
Festivals and fairs,Media Sponsorship|Financial|Financial,93410.23|136348.86|50491.96,1304,215922.5,245728.71,13.8
Conferences and seminars,Media Sponsorship|Influencer,98412.82|72084.53,2689,127626.63,202460.58,58.64
Festivals and fairs,In Kind|Merchandise|Financial|Merchandise|Merchandise,42184.5|49810.85|19197.25|7666.03|37576.83,41601,133058.71,188578.74,41.73
Community and Charity events,Merchandise|Food Stalls|In Kind|Media Sponsorship,3820.92|41066.72|37252.93|13533.97,3727,78594.56,93824.17,19.38
Community and Charity events,Philanthropy|Food Stalls|Philanthropy,49311.05|15949.59|14579.64,2348,55167.86,99691.89,80.71
Conferences and seminars,Philanthropy|Media Sponsorship,94161.52|59424.3,3433,96370.4,124037.49,28.71
Festivals and fairs,Philanthropy|Merchandise|Financial|Merchandise|Financial,33315.36|48978.14|166669.37|25225.66|87232.05,1893,238541.89,456959.95,91.56
Festivals and fairs,Food Stalls|Food Stalls|Media Sponsorship|Media Sponsorship,33670.18|49375.85|59596.74|11341.35,49557,130604.48,185809.5,42.27
Entertainment and media events,Financial|In Kind|Financial,7479.08|33544.63|92921.56,7095,85671.68,165763.79,93.49
Virtual event,In Kind|Influencer|Philanthropy|Media Sponsorship|In Kind,2503.33|53345.56|4963.73|66798.01|87532.62,8119,147063.79,219860.42,49.5
Virtual event,Influencer|Philanthropy|Influencer|Media Sponsorship,16374.4|3404.94|87506.22|71436.63,8925,144755.3,194124.01,34.1
Community and Charity events,Media Sponsorship|In Kind|Financial|Philanthropy,6716.83|58932.72|55015.09|4650.05,2037,91206.76,128569.1,40.96
Festivals and fairs,Financial|In Kind,127627.16|4603.85,22027,79421.14,121415.24,52.88
Sports events,In Kind|Influencer|Media Sponsorship,18957.96|71417.98|27176.8,26611,86226.52,171270.87,98.63
Entertainment and media events,Financial|Media Sponsorship,102139.71|99490.75,17180,139565.78,248696.3,78.19
Virtual event,Merchandise,22326.7,7350,19722.39,23855.24,20.96
Conferences and seminars,Financial|Philanthropy|Influencer|Financial,52365.18|42887.16|48222.98|165643.81,2912,239857.14,274358.28,14.38
Community and Charity events,Financial|Food Stalls|Media Sponsorship|Food Stalls|Merchandise,103005.51|21537.55|63848.83|15131.64|1690.58,963,131479.84,163037.06,24.0
Community and Charity events,In Kind|Merchandise|Media Sponsorship,60090.22|46748.02|93180.69,1538,178910.16,354280.1,98.02
Entertainment and media events,Philanthropy|Financial|Media Sponsorship|Influencer,91765.52|54635.49|9953.96|40060.06,44328,151740.16,172706.74,13.82
Sports events,Media Sponsorship|Financial|Merchandise|Influencer,91931.68|36802.05|11343.67|12313.16,93064,100829.5,186992.97,85.45
Entertainment and media events,Merchandise|In Kind|Media Sponsorship|Food Stalls|Food Stalls,47090.02|88280.82|82393.91|37930.87|11812.28,8391,193208.48,372804.47,92.95
Community and Charity events,Merchandise|In Kind|Influencer|Influencer|Philanthropy,36895.81|50940.73|47831.97|50633.25|34638.96,1682,184913.76,335510.15,81.44
Conferences and seminars,Philanthropy|Food Stalls,19400.57|28463.12,1527,37084.74,50852.45,37.13
Community and Charity events,Media Sponsorship|Merchandise|Influencer|Influencer|In Kind,48940.51|8005.63|94900.88|28350.96|56990.99,2873,184379.52,291866.89,58.3
Virtual event,Philanthropy|Merchandise|Media Sponsorship,82527.28|14876.75|66456.03,6248,110622.7,156301.05,41.29
Sports events,Food Stalls,47904.92,50952,42698.33,71051.17,66.4
Sports events,Food Stalls|Food Stalls|Philanthropy,40037.71|25909.68|10659.75,48430,48638.79,55093.38,13.27
Community and Charity events,In Kind|Financial,80569.39|129316.67,788,169527.6,324315.26,91.31
Conferences and seminars,Media Sponsorship,5724.4,3296,4346.19,6128.4,41.01
Sports events,Philanthropy|Philanthropy|Philanthropy,86075.47|21994.95|43899.39,94297,96269.81,189488.36,96.83
Community and Charity events,Influencer|Media Sponsorship|Philanthropy|Food Stalls,89764.65|19302.44|42988.62|14593.25,627,127231.98,167770.7,31.86
Festivals and fairs,Media Sponsorship|Influencer,24582.47|82895.53,47904,86451.05,108060.51,25.0
Sports events,Philanthropy|Philanthropy,59197.77|57913.54,33811,105397.06,176154.55,67.13
