Event Type,Expected Footfall,Number of Sponsors,Ticket Price,Sponsor Type,Sponsor Cost,Sponsor Revenue,Sponsor ROI
Festivals and fairs,56383,4,0,Merchandise,25770.47,44773.31,73.74
Festivals and fairs,56383,4,0,Food Stalls,3514.53,6626.72,88.55
Festivals and fairs,56383,4,0,Philanthropy,1416.06,2832.12,100
Festivals and fairs,56383,4,0,Media Sponsorship,13114.11,26228.22,100
Community and Charity events,3129,4,393.71,Merchandise,12596.27,18202.21,44.5
Community and Charity events,3129,4,393.71,Philanthropy,28725.77,41337.48,43.9
Community and Charity events,3129,4,393.71,Media Sponsorship,25913.41,51826.82,100
Community and Charity events,3129,4,393.71,Merchandise,30352.28,41941.04,38.18
Virtual event,4265,5,0,Philanthropy,59689.57,117906.49,97.53
Virtual event,4265,5,0,Philanthropy,54119.15,84982.32,57.03
Virtual event,4265,5,0,In Kind,66298.9,98789.77,49.01
Virtual event,4265,5,0,Financial,120789.87,220760.26,82.76
Virtual event,4265,5,0,In Kind,84131.99,159622.89,89.73
Virtual event,1790,2,0,Media Sponsorship,13206.74,26413.48,100
Virtual event,1790,2,0,In Kind,92852.94,133126.5,43.37
Entertainment and media events,5932,2,53959.28,Merchandise,7442.28,14884.56,100
Entertainment and media events,5932,2,53959.28,Influencer,24485.15,48191.83,96.82
Festivals and fairs,25272,2,0,Media Sponsorship,27899.45,55798.9,100
Festivals and fairs,25272,2,0,Food Stalls,17191.72,34383.44,100
Community and Charity events,570,2,345.35,Financial,14855.27,14855.27,0
Community and Charity events,570,2,345.35,Influencer,14323.1,14323.1,0
Entertainment and media events,41321,4,42657.42,Philanthropy,98949.83,188209.84,90.21
Entertainment and media events,41321,4,42657.42,Philanthropy,81544.36,163088.72,100
Entertainment and media events,41321,4,42657.42,In Kind,39944.35,77108.34,93.04
Entertainment and media events,41321,4,42657.42,Philanthropy,34197.91,68395.82,100
Virtual event,1049,3,0,In Kind,23639.98,23639.98,0
Virtual event,1049,3,0,In Kind,15984.95,15984.95,0
Virtual event,1049,3,0,Media Sponsorship,6281.85,6423.86,2.26
Conferences and seminars,2176,3,588.89,Food Stalls,18387.41,36774.82,100
Conferences and seminars,2176,3,588.89,Philanthropy,7772.01,13106.4,68.64
Conferences and seminars,2176,3,588.89,Food Stalls,28556.83,57113.66,100
Festivals and fairs,79807,3,0,Influencer,41917.77,83835.54,100
Festivals and fairs,79807,3,0,Merchandise,48283.61,96567.22,100
Festivals and fairs,79807,3,0,Financial,121137.28,242274.56,100
Sports events,75224,3,136.55,In Kind,75798.86,151597.72,100
Sports events,75224,3,136.55,Financial,69482.2,138964.4,100
Sports events,75224,3,136.55,Food Stalls,21471.19,42461.52,97.76
Sports events,64017,2,503.39,Influencer,77520.49,155040.98,100
Sports events,64017,2,503.39,Food Stalls,24625.05,49250.1,100
Virtual event,2016,1,0,Financial,35578.77,71157.54,100
Festivals and fairs,32585,5,0,Financial,65513.43,131026.86,100
Festivals and fairs,32585,5,0,Food Stalls,27169.33,54338.66,100
Festivals and fairs,32585,5,0,Philanthropy,17946.25,31649.85,76.36
Festivals and fairs,32585,5,0,Media Sponsorship,40504.26,81008.52,100
Festivals and fairs,32585,5,0,Philanthropy,16998.96,32411.31,90.67
Community and Charity events,1673,5,433.65,Philanthropy,75450.11,109656.44,45.34
Community and Charity events,1673,5,433.65,In Kind,38095.34,38095.34,0
Community and Charity events,1673,5,433.65,Influencer,86258.78,141719.69,64.3
Community and Charity events,1673,5,433.65,Influencer,72778.5,142146.48,95.31
Community and Charity events,1673,5,433.65,Food Stalls,43912.23,78544.9,78.87
Sports events,93604,4,76.88,Food Stalls,22167.95,44335.9,100
Sports events,93604,4,76.88,Philanthropy,69875.73,136922.7,95.95
Sports events,93604,4,76.88,Media Sponsorship,71252.77,142505.54,100
Sports events,93604,4,76.88,Food Stalls,26718.87,53437.74,100
Festivals and fairs,94276,5,0,Merchandise,24448.62,48897.24,100
Festivals and fairs,94276,5,0,Food Stalls,46689.48,93378.96,100
Festivals and fairs,94276,5,0,Financial,33136.23,66272.46,100
Festivals and fairs,94276,5,0,Food Stalls,23493.97,46761.11,99.03
Festivals and fairs,94276,5,0,Merchandise,1710.14,3321.27,94.21
Community and Charity events,3331,1,508.63,Financial,56204.97,112409.94,100
Festivals and fairs,15722,3,0,In Kind,20922.36,41844.72,100
Festivals and fairs,15722,3,0,Merchandise,38282.2,76564.4,100
Festivals and fairs,15722,3,0,Media Sponsorship,92769.68,185539.36,100
Conferences and seminars,2301,1,983.72,Influencer,77235.53,154471.06,100
Festivals and fairs,93454,5,0,Philanthropy,74570.05,121835.98,63.38
Festivals and fairs,93454,5,0,Influencer,91315.32,182630.64,100
Festivals and fairs,93454,5,0,Food Stalls,5030.44,10060.88,100
Festivals and fairs,93454,5,0,Philanthropy,27842.02,47850.75,71.87
Festivals and fairs,93454,5,0,Merchandise,10068.76,20137.52,100
Festivals and fairs,85376,1,0,Philanthropy,73986.85,147973.7,100
Community and Charity events,491,4,385.56,Food Stalls,4871.91,4871.91,0
Community and Charity events,491,4,385.56,Merchandise,15027.77,15027.77,0
Community and Charity events,491,4,385.56,Food Stalls,17285.95,17285.95,0
Community and Charity events,491,4,385.56,Media Sponsorship,16862.49,16862.49,0
Conferences and seminars,1547,4,874.27,Financial,175269.34,304376.43,73.66
Conferences and seminars,1547,4,874.27,In Kind,70553.97,112926.83,60.06
Conferences and seminars,1547,4,874.27,In Kind,7306.67,11043.02,51.14
Conferences and seminars,1547,4,874.27,Financial,164973.63,329947.26,100
Virtual event,7942,3,0,Philanthropy,54814.57,101788.19,85.7
Virtual event,7942,3,0,Media Sponsorship,83885.29,167770.58,100
Virtual event,7942,3,0,Philanthropy,52913.28,79305.08,49.88
Conferences and seminars,1804,3,408.58,In Kind,60275.24,106881.76,77.32
Conferences and seminars,1804,3,408.58,In Kind,26958.63,47151.07,74.9
Conferences and seminars,1804,3,408.58,Philanthropy,66164.99,131777.75,99.17
Sports events,25189,4,555.16,Food Stalls,29967.19,59934.38,100
Sports events,25189,4,555.16,Influencer,64999.15,129998.3,100
Sports events,25189,4,555.16,Merchandise,10208.76,20417.52,100
Sports events,25189,4,555.16,Media Sponsorship,15662.76,31325.52,100
Conferences and seminars,4488,1,762.1,Financial,42300.13,84600.26,100
Virtual event,5810,2,0,In Kind,26683.98,36658.17,37.38
Virtual event,5810,2,0,Media Sponsorship,2779.92,5559.84,100
Festivals and fairs,36938,5,0,Philanthropy,39861.1,79722.2,100
Festivals and fairs,36938,5,0,Influencer,65342.53,130685.06,100
Festivals and fairs,36938,5,0,Influencer,26970.19,53940.38,100
Festivals and fairs,36938,5,0,Financial,179659.68,359319.36,100
Festivals and fairs,36938,5,0,Financial,198375.06,396750.12,100
Virtual event,1994,2,0,Financial,161908.57,323817.14,100
Virtual event,1994,2,0,Merchandise,19050.19,30385.27,59.5
Sports events,39113,3,585.41,Merchandise,45638.66,91277.32,100
Sports events,39113,3,585.41,Media Sponsorship,95867.46,191734.92,100
Sports events,39113,3,585.41,Media Sponsorship,78732.16,157464.32,100
Entertainment and media events,6062,3,65439.32,Merchandise,1407.91,2373.68,68.6
Entertainment and media events,6062,3,65439.32,Merchandise,38219.16,76438.32,100
Entertainment and media events,6062,3,65439.32,Influencer,68287.52,136575.04,100
Festivals and fairs,14387,2,0,Media Sponsorship,70543.19,141086.38,100
Festivals and fairs,14387,2,0,Philanthropy,56305.92,110196.34,95.71
Community and Charity events,4407,2,201.86,Merchandise,40907.45,81814.9,100
Community and Charity events,4407,2,201.86,Financial,179993.12,328564.2,82.54
Conferences and seminars,3112,1,534.82,In Kind,83128.13,166256.26,100
Festivals and fairs,60302,3,0,Philanthropy,41595.43,83190.86,100
Festivals and fairs,60302,3,0,Merchandise,33647.73,67295.46,100
Festivals and fairs,60302,3,0,Merchandise,45330.55,90661.1,100
Virtual event,6333,4,0,Influencer,22044.66,40916.65,85.61
Virtual event,6333,4,0,Philanthropy,45022.44,59282.8,31.67
Virtual event,6333,4,0,Merchandise,22637.42,29926.81,32.2
Virtual event,6333,4,0,In Kind,71619.52,143239.04,100
Community and Charity events,292,1,654.8,Media Sponsorship,32950.37,32950.37,0
Conferences and seminars,4882,2,350.33,Merchandise,45117.9,90235.8,100
Conferences and seminars,4882,2,350.33,Financial,177942.19,355884.38,100
Entertainment and media events,49207,5,47751.62,Merchandise,32852.89,65705.78,100
Entertainment and media events,49207,5,47751.62,Influencer,73940.97,147881.94,100
Entertainment and media events,49207,5,47751.62,Philanthropy,77133.6,128722.03,66.88
Entertainment and media events,49207,5,47751.62,Financial,75121.03,150242.06,100
Entertainment and media events,49207,5,47751.62,Financial,30357.68,60715.36,100
Community and Charity events,1747,2,863.18,Influencer,24647.54,35765.05,45.11
Community and Charity events,1747,2,863.18,Food Stalls,1109.91,1476.04,32.99
Conferences and seminars,4507,4,265.56,Media Sponsorship,66379.67,132414.8,99.48
Conferences and seminars,4507,4,265.56,Influencer,64699.41,129398.82,100
Conferences and seminars,4507,4,265.56,In Kind,9613.05,19226.1,100
Conferences and seminars,4507,4,265.56,Financial,108138.22,216276.44,100
Conferences and seminars,4978,5,591.83,Media Sponsorship,24773.03,49546.06,100
Conferences and seminars,4978,5,591.83,In Kind,95365.92,190731.84,100
Conferences and seminars,4978,5,591.83,Media Sponsorship,20816.52,41633.04,100
Conferences and seminars,4978,5,591.83,Influencer,39162.22,78324.44,100
Conferences and seminars,4978,5,591.83,Philanthropy,23478.78,46706.78,98.93
Sports events,16482,2,605.71,Media Sponsorship,42565.01,85130.02,100
Sports events,16482,2,605.71,Food Stalls,7044.91,14089.82,100
Conferences and seminars,2741,4,810.23,Influencer,68412.93,136825.86,100
Conferences and seminars,2741,4,810.23,In Kind,65063.65,86137.25,32.39
Conferences and seminars,2741,4,810.23,Media Sponsorship,16719.95,29528.91,76.61
Conferences and seminars,2741,4,810.23,Financial,175056.66,350113.32,100
Community and Charity events,4372,4,591.5,Media Sponsorship,13252.15,26504.3,100
Community and Charity events,4372,4,591.5,Financial,154236.27,258582.78,67.65
Community and Charity events,4372,4,591.5,Financial,13774.18,27548.36,100
Community and Charity events,4372,4,591.5,Media Sponsorship,57228.32,114456.64,100
Entertainment and media events,41823,3,83146.42,Financial,15703.8,31407.6,100
Entertainment and media events,41823,3,83146.42,Food Stalls,26389.78,49339.07,86.96
Entertainment and media events,41823,3,83146.42,Financial,67699.41,135398.82,100
Sports events,67279,4,940.93,Influencer,26109.73,52219.46,100
Sports events,67279,4,940.93,Merchandise,40099.26,80198.52,100
Sports events,67279,4,940.93,Media Sponsorship,57926.03,115852.06,100
Sports events,67279,4,940.93,Financial,76587.48,153174.96,100
Virtual event,6774,5,0,In Kind,46174.35,92348.7,100
Virtual event,6774,5,0,Philanthropy,99869.29,142736.28,42.92
Virtual event,6774,5,0,Media Sponsorship,84145.8,135397.29,60.91
Virtual event,6774,5,0,Media Sponsorship,39106.83,78213.66,100
Virtual event,6774,5,0,Financial,38418.25,76836.5,100
Festivals and fairs,94887,4,0,Philanthropy,79723.49,159446.98,100
Festivals and fairs,94887,4,0,Media Sponsorship,97316.33,194632.66,100
Festivals and fairs,94887,4,0,Food Stalls,39810.29,79620.58,100
Festivals and fairs,94887,4,0,Influencer,91405.22,182810.44,100
Community and Charity events,3905,3,592.01,Philanthropy,67654.9,93884.99,38.77
Community and Charity events,3905,3,592.01,Philanthropy,81251.42,152910.59,88.19
Community and Charity events,3905,3,592.01,In Kind,75175.86,124794.46,66.0
Conferences and seminars,3966,4,75.35,Influencer,6170.55,12341.1,100
Conferences and seminars,3966,4,75.35,In Kind,31573.11,62403.2,97.65
Conferences and seminars,3966,4,75.35,Merchandise,2329.02,4476.29,92.2
Conferences and seminars,3966,4,75.35,Merchandise,14059.58,22961.84,63.32
Community and Charity events,2612,4,538.93,Media Sponsorship,3092.01,6184.02,100
Community and Charity events,2612,4,538.93,In Kind,7916.77,8331.48,5.24
Community and Charity events,2612,4,538.93,Food Stalls,8588.44,12857.34,49.71
Community and Charity events,2612,4,538.93,Financial,17038.11,34076.22,100
Community and Charity events,4802,3,461.1,In Kind,77356.8,131473.89,69.96
Community and Charity events,4802,3,461.1,Financial,137365.24,274730.48,100
Community and Charity events,4802,3,461.1,Merchandise,42275.17,74891.43,77.15
Conferences and seminars,2420,3,954.04,Merchandise,5050.18,10100.36,100
Conferences and seminars,2420,3,954.04,Influencer,4085.6,8171.2,100
Conferences and seminars,2420,3,954.04,Food Stalls,36153.22,72306.44,100
Festivals and fairs,33423,1,0,Philanthropy,99501.63,199003.26,100
Entertainment and media events,43738,5,78031.24,Food Stalls,30911.27,61822.54,100
Entertainment and media events,43738,5,78031.24,In Kind,50459.12,100918.24,100
Entertainment and media events,43738,5,78031.24,Media Sponsorship,99186.97,198373.94,100
Entertainment and media events,43738,5,78031.24,Merchandise,15731.01,31462.02,100
Entertainment and media events,43738,5,78031.24,Food Stalls,33422.65,64819.47,93.94
Virtual event,4382,3,0,Media Sponsorship,56949.35,113898.7,100
Virtual event,4382,3,0,In Kind,86520.1,153651.91,77.59
Virtual event,4382,3,0,Financial,71709.26,137106.19,91.2
Community and Charity events,2136,5,895.59,In Kind,66635.87,79385.22,19.13
Community and Charity events,2136,5,895.59,In Kind,74819.87,125472.31,67.7
Community and Charity events,2136,5,895.59,Merchandise,5655.16,9071.1,60.4
Community and Charity events,2136,5,895.59,Financial,64198.23,105483.44,64.31
Community and Charity events,2136,5,895.59,Philanthropy,19291.74,35195.15,82.44
Sports events,29145,3,581.87,In Kind,98234.05,196468.1,100
Sports events,29145,3,581.87,Philanthropy,98506.85,197013.7,100
Sports events,29145,3,581.87,Philanthropy,53328.57,97083.52,82.05
Community and Charity events,376,1,770.47,Influencer,80685.8,80685.8,0
Entertainment and media events,35030,2,14488.2,In Kind,40823.35,81646.7,100
Entertainment and media events,35030,2,14488.2,Merchandise,39739.65,79479.3,100
Virtual event,4594,1,0,In Kind,24935.5,45583.11,82.8
Festivals and fairs,72989,3,0,In Kind,53864.72,88096.23,63.55
Festivals and fairs,72989,3,0,Food Stalls,41333.8,82667.6,100
Festivals and fairs,72989,3,0,In Kind,33741.43,67482.86,100
Community and Charity events,1116,2,30.49,Influencer,21767.84,31514.86,44.78
Community and Charity events,1116,2,30.49,Media Sponsorship,44680.11,44680.11,0
Entertainment and media events,5902,5,53482.92,Food Stalls,16522.4,33044.8,100
Entertainment and media events,5902,5,53482.92,Media Sponsorship,38760.36,77520.72,100
Entertainment and media events,5902,5,53482.92,Philanthropy,68570.6,113571.07,65.63
Entertainment and media events,5902,5,53482.92,Media Sponsorship,26369.79,52739.58,100
Entertainment and media events,5902,5,53482.92,Food Stalls,14320.26,28640.52,100
Festivals and fairs,13502,2,0,Merchandise,24865.57,49731.14,100
Festivals and fairs,13502,2,0,Financial,3250.12,6500.24,100
Virtual event,611,1,0,Merchandise,31305.04,31305.04,0
Entertainment and media events,2389,2,32646.33,Food Stalls,22899.08,45798.16,100
Entertainment and media events,2389,2,32646.33,Food Stalls,12037.31,24074.62,100
Community and Charity events,2768,1,116.52,Philanthropy,19698.68,31824.23,61.56
Sports events,49766,5,208.58,Media Sponsorship,62040.12,124080.24,100
Sports events,49766,5,208.58,In Kind,33834.6,67669.2,100
Sports events,49766,5,208.58,Media Sponsorship,5553.46,11106.92,100
Sports events,49766,5,208.58,Food Stalls,49565.32,99130.64,100
Sports events,49766,5,208.58,Influencer,22847.21,45694.42,100
Sports events,30003,1,906.65,Merchandise,33533.17,67066.34,100
Virtual event,3421,2,0,In Kind,6717.36,11881.37,76.88
Virtual event,3421,2,0,Philanthropy,76302.72,102575.45,34.43
Virtual event,4595,1,0,Financial,98598.74,173036.32,75.5
Conferences and seminars,1428,4,174.11,Food Stalls,22335.05,42785.51,91.56
Conferences and seminars,1428,4,174.11,Food Stalls,13642.39,24846.0,82.12
Conferences and seminars,1428,4,174.11,Food Stalls,45382.42,83173.91,83.27
Conferences and seminars,1428,4,174.11,Merchandise,47576.58,51874.28,9.03
Conferences and seminars,4947,2,143.86,Financial,130006.1,260012.2,100
Conferences and seminars,4947,2,143.86,Food Stalls,45807.69,66994.53,46.25
Sports events,13650,4,397.83,Food Stalls,43425.44,86850.88,100
Sports events,13650,4,397.83,Financial,125312.84,250625.68,100
Sports events,13650,4,397.83,In Kind,46412.31,92824.62,100
Sports events,13650,4,397.83,Financial,163107.2,326214.4,100
Conferences and seminars,2778,2,815.73,Food Stalls,49343.35,89661.19,81.71
Conferences and seminars,2778,2,815.73,Philanthropy,33665.59,52395.08,55.63
Virtual event,9891,5,0,Influencer,79686.21,159372.42,100
Virtual event,9891,5,0,Media Sponsorship,93537.86,187075.72,100
Virtual event,9891,5,0,Media Sponsorship,53536.31,107072.62,100
Virtual event,9891,5,0,Merchandise,38221.77,57462.25,50.34
Virtual event,9891,5,0,Media Sponsorship,17520.28,35040.56,100
Entertainment and media events,15353,1,11749.96,Financial,79788.19,159576.38,100
Entertainment and media events,9050,5,24022.45,Philanthropy,51710.52,103421.04,100
Entertainment and media events,9050,5,24022.45,Merchandise,7061.75,12625.55,78.79
Entertainment and media events,9050,5,24022.45,In Kind,94870.07,189740.14,100
Entertainment and media events,9050,5,24022.45,In Kind,80048.62,118576.62,48.13
Entertainment and media events,9050,5,24022.45,In Kind,95360.8,157622.6,65.29
Entertainment and media events,26648,5,24835.4,Financial,9726.39,19452.78,100
Entertainment and media events,26648,5,24835.4,Merchandise,22087.11,41291.87,86.95
Entertainment and media events,26648,5,24835.4,Influencer,32845.6,65691.2,100
Entertainment and media events,26648,5,24835.4,Financial,98648.15,197296.3,100
Entertainment and media events,26648,5,24835.4,Philanthropy,80503.77,161007.54,100
Community and Charity events,4533,2,491.36,Financial,96343.95,192687.9,100
Community and Charity events,4533,2,491.36,Food Stalls,32007.31,38757.84,21.09
Sports events,83390,3,782.76,Food Stalls,47958.97,95917.94,100
Sports events,83390,3,782.76,Influencer,73635.87,147271.74,100
Sports events,83390,3,782.76,Merchandise,15111.52,30223.04,100
Sports events,80412,4,195.03,Influencer,76694.42,153388.84,100
Sports events,80412,4,195.03,In Kind,55808.79,111617.58,100
Sports events,80412,4,195.03,Media Sponsorship,15309.49,30618.98,100
Sports events,80412,4,195.03,Media Sponsorship,93449.33,186898.66,100
Sports events,77718,1,373.2,Merchandise,7718.95,15437.9,100
Festivals and fairs,11562,1,0,Financial,195966.08,391932.16,100
Conferences and seminars,3715,5,95.3,Financial,68428.95,136857.9,100
Conferences and seminars,3715,5,95.3,Merchandise,8553.16,13121.46,53.41
Conferences and seminars,3715,5,95.3,In Kind,45497.79,83434.52,83.38
Conferences and seminars,3715,5,95.3,Merchandise,39850.6,68194.44,71.13
Conferences and seminars,3715,5,95.3,Influencer,21314.43,42628.86,100
Sports events,55715,1,397.97,Philanthropy,16113.99,32227.98,100
Sports events,68598,4,893.95,Merchandise,43938.67,87877.34,100
Sports events,68598,4,893.95,Influencer,39204.05,78408.1,100
Sports events,68598,4,893.95,Philanthropy,10651.29,21302.58,100
Sports events,68598,4,893.95,Media Sponsorship,1380.59,2761.18,100
Sports events,77418,1,901.89,Media Sponsorship,57942.13,115884.26,100
Virtual event,3746,3,0,Philanthropy,83922.42,161007.09,91.85
Virtual event,3746,3,0,Financial,195410.22,358902.05,83.67
Virtual event,3746,3,0,Philanthropy,24095.69,48191.38,100
Community and Charity events,3159,4,732.19,Financial,177079.97,354159.94,100
Community and Charity events,3159,4,732.19,Influencer,71617.49,143234.98,100
Community and Charity events,3159,4,732.19,Food Stalls,25714.04,48762.41,89.63
Community and Charity events,3159,4,732.19,Philanthropy,91010.41,145064.12,59.39
Festivals and fairs,93502,5,0,Influencer,62821.37,125642.74,100
Festivals and fairs,93502,5,0,Financial,3084.19,6168.38,100
Festivals and fairs,93502,5,0,In Kind,79599.25,159198.5,100
Festivals and fairs,93502,5,0,Merchandise,33236.91,66473.82,100
Festivals and fairs,93502,5,0,Food Stalls,18702.0,37404.0,100
Entertainment and media events,4309,3,66267.78,In Kind,81323.83,162647.66,100
Entertainment and media events,4309,3,66267.78,Influencer,5679.19,11358.38,100
Entertainment and media events,4309,3,66267.78,Influencer,76652.18,153304.36,100
Virtual event,1001,3,0,Philanthropy,98676.66,98676.66,0
Virtual event,1001,3,0,In Kind,70390.34,70390.34,0
Virtual event,1001,3,0,Philanthropy,13828.04,13828.04,0
Sports events,22209,2,67.3,Media Sponsorship,71917.51,143835.02,100
Sports events,22209,2,67.3,Financial,110389.69,220779.38,100
Virtual event,5596,4,0,Philanthropy,51348.39,84590.87,64.74
Virtual event,5596,4,0,Media Sponsorship,39996.81,79993.62,100
Virtual event,5596,4,0,In Kind,79219.23,144750.95,82.72
Virtual event,5596,4,0,In Kind,34495.59,55736.85,61.58
Entertainment and media events,8343,4,94324.91,Media Sponsorship,15601.82,31203.64,100
Entertainment and media events,8343,4,94324.91,Food Stalls,12870.84,25741.68,100
Entertainment and media events,8343,4,94324.91,In Kind,29277.03,54623.06,86.57
Entertainment and media events,8343,4,94324.91,Merchandise,12645.06,25155.91,98.94
Community and Charity events,2158,2,76.31,Influencer,71511.09,143022.18,100
Community and Charity events,2158,2,76.31,Food Stalls,8868.39,13196.94,48.81
Festivals and fairs,7295,2,0,Merchandise,31199.85,62399.7,100
Festivals and fairs,7295,2,0,Financial,121949.98,243899.96,100
Entertainment and media events,1073,5,30560.2,Philanthropy,41052.0,41052.0,0
Entertainment and media events,1073,5,30560.2,Media Sponsorship,36541.55,64223.29,75.75
Entertainment and media events,1073,5,30560.2,Merchandise,23614.75,26386.33,11.74
Entertainment and media events,1073,5,30560.2,Food Stalls,22541.36,24157.29,7.17
Entertainment and media events,1073,5,30560.2,Media Sponsorship,42820.12,58603.94,36.86
Conferences and seminars,2525,4,177.05,Philanthropy,45495.04,82833.54,82.07
Conferences and seminars,2525,4,177.05,In Kind,94896.84,189793.68,100
Conferences and seminars,2525,4,177.05,Influencer,41776.99,75845.89,81.55
Conferences and seminars,2525,4,177.05,Influencer,47355.65,88696.18,87.3
Sports events,71446,1,986.56,Philanthropy,60165.93,120331.86,100
Community and Charity events,3299,2,53.39,In Kind,68094.61,81281.93,19.37
Community and Charity events,3299,2,53.39,Merchandise,5716.05,11413.34,99.67
Sports events,35458,4,193.42,Media Sponsorship,57172.46,114344.92,100
Sports events,35458,4,193.42,Financial,6809.81,13619.62,100
Sports events,35458,4,193.42,In Kind,28852.81,57705.62,100
Sports events,35458,4,193.42,Influencer,87944.42,175888.84,100
Virtual event,2371,1,0,Merchandise,17297.02,27801.77,60.73
Festivals and fairs,23850,4,0,Media Sponsorship,85961.25,171922.5,100
Festivals and fairs,23850,4,0,In Kind,26385.19,49378.85,87.15
Festivals and fairs,23850,4,0,Financial,2213.52,4427.04,100
Festivals and fairs,23850,4,0,Philanthropy,10749.87,17600.36,63.73
Festivals and fairs,16648,4,0,Philanthropy,73304.6,128730.99,75.61
Festivals and fairs,16648,4,0,Food Stalls,48604.79,97209.58,100
Festivals and fairs,16648,4,0,In Kind,4836.95,8975.84,85.57
Festivals and fairs,16648,4,0,Influencer,75044.63,150089.26,100
Virtual event,2603,4,0,Merchandise,27713.64,49244.31,77.69
Virtual event,2603,4,0,Merchandise,9257.7,12518.55,35.22
Virtual event,2603,4,0,Media Sponsorship,83758.92,163076.19,94.7
Virtual event,2603,4,0,Influencer,41567.05,83134.1,100
Virtual event,644,2,0,Merchandise,1041.92,1041.92,0
Virtual event,644,2,0,Financial,187192.43,187192.43,0
Virtual event,698,1,0,Philanthropy,3040.99,3040.99,0
Virtual event,5338,3,0,Media Sponsorship,89192.09,158741.79,77.98
Virtual event,5338,3,0,In Kind,92217.11,184434.22,100
Virtual event,5338,3,0,In Kind,95403.87,190807.74,100
Community and Charity events,4974,3,446.52,Philanthropy,34036.71,63306.64,86.0
Community and Charity events,4974,3,446.52,Influencer,88042.33,165120.49,87.55
Community and Charity events,4974,3,446.52,Influencer,65180.61,130361.22,100
Festivals and fairs,43406,3,0,Food Stalls,26609.85,53219.7,100
Festivals and fairs,43406,3,0,Financial,69191.94,138383.88,100
Festivals and fairs,43406,3,0,In Kind,17094.4,34188.8,100
Entertainment and media events,44879,1,67291.85,Media Sponsorship,50135.63,100271.26,100
Festivals and fairs,63453,5,0,Media Sponsorship,38861.6,77723.2,100
Festivals and fairs,63453,5,0,In Kind,3485.26,6016.82,72.64
Festivals and fairs,63453,5,0,Merchandise,35825.66,67622.52,88.75
Festivals and fairs,63453,5,0,Merchandise,35626.77,71253.54,100
Festivals and fairs,63453,5,0,In Kind,36330.52,70502.94,94.06
Festivals and fairs,41386,5,0,In Kind,7933.12,15866.24,100
Festivals and fairs,41386,5,0,Merchandise,38314.62,76629.24,100
Festivals and fairs,41386,5,0,Merchandise,32765.42,65530.84,100
Festivals and fairs,41386,5,0,Influencer,16003.73,32007.46,100
Festivals and fairs,41386,5,0,Food Stalls,39263.68,77729.28,97.97
Festivals and fairs,7028,4,0,Financial,176245.08,352490.16,100
Festivals and fairs,7028,4,0,Food Stalls,24612.71,49225.42,100
Festivals and fairs,7028,4,0,Influencer,73536.37,147072.74,100
Festivals and fairs,7028,4,0,Food Stalls,47173.61,94347.22,100
Community and Charity events,758,2,119.99,Influencer,48365.21,48365.21,0
Community and Charity events,758,2,119.99,Influencer,22023.12,22023.12,0
Festivals and fairs,78317,3,0,In Kind,19232.02,31652.6,64.58
Festivals and fairs,78317,3,0,In Kind,53801.58,107603.16,100
Festivals and fairs,78317,3,0,Influencer,7555.09,15110.18,100
Sports events,53399,3,863.75,Food Stalls,12777.14,25463.41,99.29
Sports events,53399,3,863.75,In Kind,30344.65,60689.3,100
Sports events,53399,3,863.75,Merchandise,34631.16,69262.32,100
Festivals and fairs,84128,5,0,Influencer,96953.24,193906.48,100
Festivals and fairs,84128,5,0,Financial,52422.47,104844.94,100
Festivals and fairs,84128,5,0,In Kind,3016.65,6033.3,100
Festivals and fairs,84128,5,0,Influencer,76986.62,153973.24,100
Festivals and fairs,84128,5,0,Influencer,29646.75,59293.5,100
Entertainment and media events,32831,5,27755.18,In Kind,6894.47,13788.94,100
Entertainment and media events,32831,5,27755.18,Influencer,72345.17,144690.34,100
Entertainment and media events,32831,5,27755.18,Merchandise,37932.11,61796.66,62.91
Entertainment and media events,32831,5,27755.18,Financial,58305.33,116610.66,100
Entertainment and media events,32831,5,27755.18,In Kind,36850.12,73700.24,100
Sports events,21683,4,98.68,Merchandise,24760.05,49520.1,100
Sports events,21683,4,98.68,Merchandise,41348.43,76346.82,84.64
Sports events,21683,4,98.68,Financial,76425.76,152851.52,100
Sports events,21683,4,98.68,In Kind,67604.78,118486.93,75.26
Conferences and seminars,2539,1,951.12,Philanthropy,56839.02,77305.65,36.01
Sports events,45177,4,611.12,In Kind,65733.52,112936.84,71.81
Sports events,45177,4,611.12,Philanthropy,35672.44,71344.88,100
Sports events,45177,4,611.12,Food Stalls,24378.49,44364.39,81.98
Sports events,45177,4,611.12,Food Stalls,48029.85,87239.54,81.64
Festivals and fairs,71603,3,0,Media Sponsorship,61316.15,122632.3,100
Festivals and fairs,71603,3,0,Media Sponsorship,20364.29,40728.58,100
Festivals and fairs,71603,3,0,Merchandise,32456.24,64912.48,100
Community and Charity events,2271,1,827.47,Media Sponsorship,37898.34,58528.62,54.44
Entertainment and media events,28862,1,47235.43,Media Sponsorship,40946.22,81892.44,100
Community and Charity events,2144,4,811.73,Food Stalls,41051.83,53379.35,30.03
Community and Charity events,2144,4,811.73,Financial,23503.4,36642.7,55.9
Community and Charity events,2144,4,811.73,Food Stalls,41169.9,56729.98,37.79
Community and Charity events,2144,4,811.73,Merchandise,867.12,1613.9,86.12
Entertainment and media events,40389,5,68801.2,Philanthropy,4845.27,9690.54,100
